"Manage Order Attributes","Manage Order Attributes"
"Add New Attribute","Add New Attribute"
"Save and Continue Edit","Save and Continue Edit"
"Edit Order Attribute ""%s""","Edit Order Attribute ""%s"""
"Create Order Attribute","Create Order Attribute"
"ID","ID"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Show in Checkout Block","Show in Checkout Block"
"Type","Type"
"Is Enabled","Is Enabled"
"Sort Order","Sort Order"
"Action","Action"
'Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Enable","Enable"
"Disable","Disable"
"Change Status","Change Status"
"Status","Status"
"Order Attribute Information","Order Attribute Information"
"Manage Labels and Options","Manage Labels and Options"
"General","General"
"Attribute Properties","Attribute Properties"
"Enabled","Enabled"
"Attribute Type","Attribute Type"
"Frontend Properties","Frontend Properties"
""Store View",""Store View"
"Customer Groups","Customer Groups"
"The attributes will be added to same blocks in %sOne Step Checkout%s extension by aheadWorks","The attributes will be added to same blocks in %sOne Step Checkout%s extension by aheadWorks"
"Display On","Display On"
"Additional Properties","Additional Properties"
"Required","Required"
"Default Value","Default Value"
"Minimum Text Length","Minimum Text Length"
"Leave empty to disable this validation","Leave empty to disable this validation"
"Maximum Text Length","Maximum Text Length"
"Input Validation","Input Validation"
"Order Attributes","Order Attributes"
"Manage Attributes","Manage Attributes"
"Edit Attributes","Edit Attributes"
"Create Attributes","Create Attributes"
"Unable save attribute","Unable save attribute"
"Attribute ""%s"" has been successfully saved","Attribute ""%s"" has been successfully saved"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Default value: %s","Default value: %s"
"Unable remove attribute","Unable remove attribute"
"Attribute "%s" has been successfully deleted","Attribute "%s" has been successfully deleted"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the attribute(s) status.","An error occurred while updating the attribute(s) status."
"Manage Orders","Manage Orders"
"---Please Select---","---Please Select---"
"Text Field","Text Field"
"Text Area","Text Area"
"Date","Date"
"Yes/No","Yes/No"
"Multiple Select","Multiple Select"
"Dropdown","Dropdown"
"%s is required","%s is required"
"%s is invalid","%s is invalid"
"%s has incorrect selected option","%s has incorrect selected option"
"%s can not contain characters other than letters, digits and spaces","%s can not contain characters other than letters, digits and spaces"
"%s contains not only digit characters","%s contains not only digit characters"
"%s has not only alphabetic characters","%s has not only alphabetic characters"
"%s has invalid email address","%s has invalid email address"
"%s is less than '%s' symbols","%s is less than '%s' symbols"
"%s is greater than '%s' symbols","%s is greater than '%s' symbols"
"Yes","Yes"
"No","No"
"Order Grid","Order Grid"
"Backend PDFs","Backend PDFs"
"Customer Account","Customer Account"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Order Review","Order Review"
"None","None"
"Alphanumeric","Alphanumeric"
"Numeric","Numeric"
"Alpha","Alpha"
"Url","Url"
"Email","Email"