"Action","Action"
"Allowed file extensions are jpg, jpeg, gif, png. <br /> Recommended icon size is 20x30 px","Allowed file extensions are jpg, jpeg, gif, png. <br /> Recommended icon size is 20x30 px"
"Allowed file extensions are jpg, jpeg, gif, png. <br /> Recommended image size: 80x80 px","Allowed file extensions are jpg, jpeg, gif, png. <br /> Recommended image size: 80x80 px"
"Are you sure?","Are you sure?"
"City","City"
"Country","Country"
"Create New Location","Create New Location"
"Custom Map Location Icon","Custom Map Location Icon"
"Delete","Delete"
"Description","Description"
"Descritpion","Descritpion"
"Disabled","Disabled"
"%d location(s) have been successfully deleted","%d location(s) have been successfully deleted"
"Edit","Edit"
"Edit Location","Edit Location"
"Edit Location '%s'","Edit Location '%s'"
"Edit Location #'%s'","Edit Location #'%s'"
"Enabled","Enabled"
"Enable","Enable"
"Failed to write file to disk","Failed to write file to disk"
"Find store location according to entered data","Find store location according to entered data"
"Find Store on Map","Find Store on Map"
"General Information","General Information"
"Google Map","Google Map"
"Home","Home"
"Incorrect location","Incorrect location"
"Invalid location ids","Invalid location ids"
"Location Details","Location Details"
"Location Id","Location Id"
"Location Information","Location Information"
"Location successfully deleted","Location successfully deleted"
"Location successfully saved","Location successfully saved"
"Location with the greatest priority is displayed active by default","Location with the greatest priority is displayed active by default"
"Manage Locations","Manage Locations"
"Missing a temporary folder","Missing a temporary folder"
"New Location","New Location"
"-- None --","-- None --"
"No","No"
"Nothing found","Nothing found"
"Nothing Found","Nothing Found"
"Please select region, state or province","Please select region, state or province"
"Please specify country, city and street address to search for location","Please specify country, city and street address to search for location"
"Postal / Zip Code","Postal / Zip Code"
"Priority","Priority"
"Region","Region"
"Save and Continue Edit","Save and Continue Edit"
"Save","Save"
"State/Province","State/Province"
"Status","Status"
"Store Image","Store Image"
"Store Locations","Store Locations"
"Store Locator","Store Locator"
"Store view","Store view"
"Store View","Store View"
"Street Address","Street Address"
"Street","Street"
"Telephone","Telephone"
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form","The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form"
"The uploaded file exceeds the upload_max_filesize directive in php.ini","The uploaded file exceeds the upload_max_filesize directive in php.ini"
"The uploaded file was only partially uploaded","The uploaded file was only partially uploaded"
"Title","Title"
"Yes","Yes"
"Zip / Postal address","Zip / Postal address"
"Enable Store Locator Page","Enable Store Locator Page"
"API Key","API Key"
"URL Key","URL Key"
"Add URL to Top Links","Add URL to Top Links"
"Header CMS Block","Header CMS Block"
"For 25K+ map loads per day API key is required. <br /><a href="https://developers.google.com/maps/documentation/javascript/tutorial#api_key" target="_blank">Get Google Maps API Key</a>","For 25K+ map loads per day API key is required. <br /><a href="https://developers.google.com/maps/documentation/javascript/tutorial#api_key" target="_blank">Get Google Maps API Key</a>"